Gene.ID,tax_id,tax_level,genus_tax_id,name,category,SRR11715726,SRR11715727,SRR11715729,SRR11715730,SRR11715731,SRR11715732,SRR11715733,SRR11715734,SRR11715735,SRR11715736,SRR11715737,SRR11715738,SRR11715739,SRR11715740,SRR11715741,SRR11715742,SRR11715743,SRR11715744,SRR11715745,SRR11715746,SRR11715747,SRR11715748,SRR11715749,SRR11715750,SRR11715751,SRR11715752,SRR11715753,SRR11715754,SRR11715755,SRR11715756,SRR11715757,SRR11715758,SRR11715759,SRR11715760,SRR11715761,SRR11715762,SRR11715763,SRR11715764,SRR11715765,SRR11715766,SRR11715767,SRR11715768,SRR11715769,SRR11715770,SRR11715771,SRR11715773,SRR11715774,SRR11715775,SRR11715776,SRR11715777,SRR11715778,SRR11715779,SRR11715780,SRR11715782,SRR11715783,SRR11715784,SRR11715785,SRR11715786,SRR11715787,SRR11715788,SRR11715789,SRR11715790,SRR11715791,SRR11715792,SRR11715793,SRR11715794,SRR11715795,SRR11715796,SRR11715797
51,240427,1,1578,Lactobacillus paracollinoides,bacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,47715,1,1578,Lactobacillus rhamnosus,bacteria,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
55,1613,1,1578,Lactobacillus fermentum,bacteria,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
56,1580,1,1578,Lactobacillus brevis,bacteria,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
58,2603435,1,-200011006,Aedes aegypti totivirus,viruses,1097,0,0,0,0,0,0,0,0,0,14294,0,0,0,0,0,4,8871,0,4,0,0,0,0,0,0,0,1762,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3434,10117,0,0,0,8,0,18881,7588,0,0,0,0,0,0,0,0,0,4,0,0,4245,0,0,0,8,0
59,2689339,1,-200011006,Pisingos virus,viruses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,28,0,0,0,103,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0
60,2607731,1,-200011006,Aedes aegypti toti-like virus,viruses,24,79463,31964,340048,191,152713,26942,338802,149681,57,22401,637333,100,352068,110,233633,155620,96599,396,315,262333,168852,290311,20225,84674,55327,455,172541,169945,167767,281145,252783,148,213188,6134,227352,1598,46205,60634,209185,71,34168,166946,122159,358058,158522,145,94,255618,114,343850,216066,53,59355,61,73,155,230391,99390,37279,65959,293258,170191,261360,247048,201744,110,138078,17811
62,11856,1,140052,Squirrel monkey retrovirus,viruses,814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,842,0,0,0,0,0,0,0,864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,91915,1,91914,Asaia bogorensis,bacteria,475,0,405,39,19,18,354,82,101,40,69,112,69,32,96,448,148,96,0,0,0,0,0,0,78,0,174,38,0,0,0,0,12,0,44,156,45,0,0,0,0,0,0,9,204,344,104,57,126,0,145,164,404,288,54,11,205,85,21,0,0,10,56,23,32,63,0,33,158
66,610243,1,91914,Asaia platycodi,bacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
72,1737474,1,91914,Asaia sp. LMG 1453,bacteria,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,110479,1,91914,Asaia siamensis,bacteria,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,-100,1,-200,all taxa with neither family nor genus classification,,0,0,0,0,76,0,0,0,0,273,87,43,63,95,296,0,193,0,49,163,54,48,0,59,242,0,0,178,0,0,53,108,38,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,578,0,0,315,0,0,0,0,94,0,0,0,0
83,1869227,1,-200,bacterium,bacteria,27,0,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,4,3,0,2,27,0,0,3,0,0,2,0,0,1,0,0,0,0,2,0,4,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,2,0,0,0,0,0,0,0,2,0
106,1075826,1,-200,dsRNA virus environmental sample,viruses,0,28,10,75,0,47,0,96,0,0,0,136,0,116,0,108,47,23,0,0,56,48,106,0,0,28,0,100,61,58,90,63,0,51,0,84,0,20,25,77,0,10,55,28,129,54,0,0,73,0,70,60,0,18,0,0,0,57,29,14,0,79,43,68,0,73,0,30,0
119,417305,1,-200,uncultured beta proteobacterium CBNPD1 BAC clone 578,bacteria,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,77133,1,-200,uncultured bacterium,bacteria,31,20,112,23,7,10,17,34,19,37,262,14,5,7,12,9,577,48,10,32,11,0,14,28,12,8,69,120,6,13,10,8,117,6,6,52,15,17,23,46,19,16,5,37,21,45,17,17,40,15,195,8,133,30,36,17,85,22,78,110,21,6,27,6,18,16,832,46,35
128,390157,1,586425,Senecavirus A,viruses,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,1972577,1,11271,Indiana vesiculovirus,viruses,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,21,0,0,0
148,186538,1,186536,Zaire ebolavirus,viruses,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,158822,1,158483,Cedecea neteri,bacteria,73,0,0,5,149,85,0,0,0,0,0,0,199,0,106,0,0,419,194,0,116,0,0,269,0,32,0,1,0,0,0,0,0,0,0,529,213,404,2618,8,0,3337,4,4634,82,97,0,0,5,0,755,246,150,0,273,0,0,0,205,3116,0,0,198,0,0,0,0,0,128
162,158823,1,158483,Cedecea lapagei,bacteria,0,0,0,0,10,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,13,0,0,18,0,0,0,0,0,0,0,0,0,0,0,14,6,14,56,0,0,107,0,186,0,0,0,0,0,0,25,0,0,0,6,0,0,0,12,52,0,0,4,0,0,0,0,0,0
163,158484,1,158483,Cedecea davisae,bacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,153496,1,153497,Kozakia baliensis,bacteria,35,0,5,0,0,0,44,0,0,0,0,1,4,0,11,30,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,35,1,0,8,0,16,13,2,13,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
172,320497,1,320496,Neoasaia chiangmaiensis,bacteria,15,0,18,0,0,0,0,3,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,15,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,1791,1,1866885,Mycolicibacterium aurum,bacteria,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,117567,1,1866885,Mycolicibacterium frederiksbergense,bacteria,0,0,0,4,9,0,0,0,0,15,0,9,29,6,0,10,15,15,0,18,0,3,40,0,0,0,41,20,0,0,14,0,25,0,10,27,8,0,12,0,4,14,6,11,4,0,16,23,14,0,0,0,0,3,0,0,74,0,0,21,12,0,6,0,0,3,28,37,0
204,2565559,1,40323,Stenotrophomonas sp. PAMC25021,bacteria,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,1793721,1,40323,Stenotrophomonas sp. KCTC 12332,bacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
211,1904944,1,40323,Stenotrophomonas sp. LM091,bacteria,2,2,0,0,0,0,0,0,0,8,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,2,2,0,4,0,0,0,0,0,0,0,0,2,0,4,4,0,0,58,0,2,0,0,0,0,2,0,0,0,2,2,6,4,0,0,0,0,0,0,0,0,0,4,0
212,83617,1,40323,Stenotrophomonas nitritireducens,bacteria,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,5,0
213,128780,1,40323,Stenotrophomonas acidaminiphila,bacteria,3,0,0,0,0,2,0,4,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,2,0,0,0,0,8,0,0,2,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0
214,2005046,1,40323,Stenotrophomonas sp. WZN-1,bacteria,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,36,1,0,0,0,1,0,0,0,3,2,2,0,0,0,2,4,0,0,4,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0
216,40324,1,40323,Stenotrophomonas maltophilia,bacteria,691,692,147,88,65,54,198,989,159,426,143,60,90,85,18,155,352,239,135,559,66,83,412,61,143,79,19253,361,180,173,232,166,196,87,74,404,217,187,296,298,251,247,303,839,268,131,214,291,69,199,153,198,179,116,128,133,1520,167,249,458,225,100,139,119,204,144,426,931,61
218,200451,1,286,Pseudomonas poae,bacteria,157,102,81,27,133,61,61,32,30,196,134,28,59,76,26,37,168,146,78,276,55,120,141,33,80,21,252,208,100,70,69,29,132,37,45,167,39,80,199,168,91,91,109,182,41,33,115,158,30,79,78,55,39,83,125,76,747,55,2476,236,121,46,43,57,105,47,196,340,38
220,2664899,1,286,Pseudomonas sp. CFSAN084952,bacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,2126069,1,286,Pseudomonas sp. LBUM920,bacteria,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,17,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0
222,1573711,1,286,Pseudomonas sp. R76,bacteria,16,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,0,15,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,11,0,0,0,0,6,0,0,2,52,0,11,0,0,0,0,0,0,0,0,37,0
223,2605424,1,286,Pseudomonas sp. J380,bacteria,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,2169583,1,286,Pseudomonas sp. SXM-1,bacteria,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,18,0,0,8,0,0,0,0,0,0,0,16,0
226,294,1,286,Pseudomonas fluorescens,bacteria,128,251,81,28,80,17,72,58,41,338,84,31,31,81,10,79,207,154,145,209,15,23,164,12,76,188,184,186,99,68,48,41,179,18,26,211,51,65,85,169,78,125,67,186,45,38,93,232,34,95,61,41,39,69,52,72,618,162,303,227,210,63,72,70,85,84,110,412,45
227,253237,1,286,Pseudomonas sp. phDV1,bacteria,8,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,47883,1,286,Pseudomonas synxantha,bacteria,11,9,14,1,0,0,6,7,9,27,10,0,5,8,4,10,9,22,13,32,3,2,8,0,9,1,34,4,0,0,18,0,9,3,7,42,0,10,15,12,9,8,22,111,2,0,15,9,0,22,4,0,12,13,4,3,91,11,16,24,3,0,2,0,0,9,18,24,0
232,301,1,286,Pseudomonas oleovorans,bacteria,8,13,0,0,0,0,0,0,0,11,8,0,0,0,0,17,6,8,0,13,0,0,0,0,0,0,36,44,0,0,0,0,0,0,5,0,0,8,0,16,0,0,0,9,8,0,7,11,0,9,0,0,5,7,4,0,58,0,5,0,0,0,0,4,0,0,0,7,0
233,47885,1,286,Pseudomonas oryzihabitans,bacteria,19,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0
234,33069,1,286,Pseudomonas viridiflava,bacteria,23,83,14,9,31,4,8,6,29,36,8,3,9,43,11,13,34,20,9,71,12,4,36,20,18,4,32,46,19,25,7,1,11,14,0,13,12,11,16,27,14,16,267,41,2,136,23,10,9,30,13,11,17,9,6,10,151,21,20,32,53,24,11,12,13,8,32,77,7
235,1173288,1,286,Pseudomonas sp. R4-39-08,bacteria,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,47878,1,286,Pseudomonas azotoformans,bacteria,6,0,9,0,14,3,0,0,9,25,0,0,0,0,0,0,14,18,16,38,5,0,6,0,4,3,17,21,16,0,8,0,12,0,17,7,0,0,11,0,0,0,0,17,0,0,11,22,8,1,5,27,8,0,10,0,66,0,13,15,14,25,0,0,0,0,30,40,0
239,101564,1,286,Pseudomonas alcaliphila,bacteria,3,11,2,0,4,0,0,8,0,22,3,0,0,2,0,0,6,0,2,8,0,2,5,0,0,4,5,14,3,13,4,0,6,8,0,0,2,0,4,0,8,0,2,10,2,2,4,2,1,4,0,2,4,6,4,0,27,2,0,10,0,0,0,4,4,5,7,11,0
243,198620,1,286,Pseudomonas koreensis,bacteria,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,4,2,7,8,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,36,2,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,19,0
244,53412,1,286,Pseudomonas resinovorans,bacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,47879,1,286,Pseudomonas corrugata,bacteria,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,380021,1,286,Pseudomonas protegens,bacteria,44,25,13,0,6,8,10,6,12,40,10,2,48,2,12,0,20,67,12,48,8,10,11,2,10,0,52,17,10,12,0,6,10,1,0,16,0,8,10,24,18,22,16,23,0,9,12,26,0,26,1,5,7,7,4,6,103,16,66,12,10,2,8,0,2,6,16,91,10
256,76758,1,286,Pseudomonas orientalis,bacteria,2,16,2,0,0,0,4,0,2,12,4,0,0,7,0,0,11,9,0,9,4,1,15,0,0,0,9,6,2,4,2,0,0,0,5,0,0,2,9,12,1,12,10,6,0,11,222,8,5,237,5,0,7,0,6,0,31,0,47,7,11,19,0,0,38,14,0,25,3
257,303,1,286,Pseudomonas putida,bacteria,164,105,152,51,116,32,117,59,115,213,77,104,167,78,33,45,166,189,96,333,16,22,242,29,101,38,256,244,99,107,25,44,132,120,55,243,58,110,224,201,193,62,114,167,38,8132,144,224,64,134,68,73,133,131,145,123,726,79,182,289,146,72,88,69,158,65,172,2173,60
258,29442,1,286,Pseudomonas tolaasii,bacteria,19,9,0,4,1,10,0,1,0,2,0,4,0,5,0,0,8,7,0,6,6,0,8,5,0,0,4,6,0,2,0,0,0,1,0,10,0,8,0,2,0,0,2,6,0,2,7,12,3,14,1,1,0,0,6,0,21,0,6,5,10,0,0,2,2,0,4,23,0
259,1886807,1,286,Pseudomonas sp. TMW 2.1634,bacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,75588,1,286,Pseudomonas libanensis,bacteria,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,15,14,0,0,0,0,0,0,0,0,0,0,13,0,0,0,24,0,0,15,0,0,0,0,0,0,0,0,0,43,0,0,0,0,5,0,0,0,0,0,0,8
272,1274359,1,286,Pseudomonas sihuiensis,bacteria,18,11,0,6,2,0,2,4,6,33,8,2,8,14,4,6,14,10,6,17,6,6,15,0,0,1,32,15,8,5,4,6,0,2,2,11,8,1,25,12,14,0,6,6,4,0,8,2,0,10,10,6,8,8,5,12,79,4,3,22,6,4,2,15,10,4,30,32,4
274,1338689,1,286,Pseudomonas sp. JY-Q,bacteria,0,24,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,31,31,0,0,0,0,0,0,0,18,82,0
275,76760,1,286,Pseudomonas rhodesiae,bacteria,6,0,6,1,0,0,12,6,0,5,0,0,0,5,1,4,7,4,0,6,0,27,5,2,2,2,9,12,6,0,0,0,0,2,0,5,0,2,7,6,0,9,0,4,3,6,4,6,14,1,0,2,1,0,0,0,33,14,2,14,5,2,0,2,3,2,6,4,1
278,219572,1,286,Pseudomonas antarctica,bacteria,14,16,23,2,7,0,5,5,5,10,5,2,2,5,6,8,30,2,4,33,8,2,27,8,7,10,19,17,7,10,4,0,2,4,0,14,0,5,11,14,17,6,2,13,4,2,15,13,13,24,0,0,8,8,4,8,86,17,68,34,19,9,10,3,3,9,27,39,8
282,300,1,286,Pseudomonas mendocina,bacteria,16,4,2,0,4,2,2,0,2,21,26,0,0,9,2,0,16,6,0,14,3,11,3,0,0,0,17,8,4,4,2,0,29,1,0,7,2,6,2,3,12,0,2,11,0,2,9,10,2,11,0,1,7,3,4,0,20,4,0,23,3,10,0,0,4,0,12,45,0
284,2018067,1,286,Pseudomonas sp. FDAARGOS_380,bacteria,0,11,0,0,8,0,0,0,0,0,0,0,0,10,0,7,0,0,0,0,0,0,20,0,0,0,0,26,0,0,0,0,3,0,0,0,0,5,8,12,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,202,0,20,0,11,0,0,5,0,0,0,37,0
285,359110,1,286,Pseudomonas extremaustralis,bacteria,4,4,1,1,1,0,8,0,6,5,3,2,3,0,0,0,10,0,3,15,0,4,2,0,0,2,24,6,0,0,2,0,6,2,0,0,4,0,2,7,2,6,4,0,0,0,0,1,0,0,0,0,0,3,3,0,19,5,9,4,17,0,2,1,3,0,6,10,2
287,76759,1,286,Pseudomonas monteilii,bacteria,2,8,8,0,0,6,2,0,1,0,8,0,2,2,4,2,13,1,2,13,1,6,3,0,1,0,11,5,1,1,3,0,0,0,2,2,2,4,5,0,7,0,0,2,0,1,0,12,0,1,4,4,1,5,0,8,17,2,4,9,5,0,4,0,1,3,9,16,0
288,1898684,1,286,Pseudomonas sp. LPH1,bacteria,0,0,0,0,0,0,0,0,0,13,0,0,0,3,0,0,0,2,0,2,0,0,5,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,0,0
